pid,name,username,num_ctx_switches,memory_info,cpu_percent,memory_percent,nice,create_time,utime,stime,cutime,cstime
439,filecoordinationd,root,"pctxsw(voluntary=140475495350749, involuntary=0)","pmem(rss=5599232, vms=34474967040, pfaults=2690, pageins=11)",0.0,0.06518363952636719,0,1681222258.616897,0.03035924,0.030165444,0.0,0.0
440,siriactionsd,jachian,"pctxsw(voluntary=140475495367829, involuntary=0)","pmem(rss=18001920, vms=34658652160, pfaults=16515, pageins=315)",0.0,0.20956993103027344,0,1681222258.630638,0.925874496,0.497942912,0.0,0.0
441,NotificationCenter,jachian,"pctxsw(voluntary=140475495372855, involuntary=0)","pmem(rss=31559680, vms=35192094720, pfaults=28391, pageins=743)",0.0,0.3674030303955078,0,1681222258.766052,1.823713408,1.033118016,0.0,0.0
442,secinitd,jachian,"pctxsw(voluntary=140475495352154, involuntary=0)","pmem(rss=3502080, vms=34498150400, pfaults=5882, pageins=3)",0.0,0.04076957702636719,0,1681222258.812156,0.295792128,0.185153904,0.0,0.0
443,iconservicesagent,jachian,"pctxsw(voluntary=140475495352756, involuntary=0)","pmem(rss=6422528, vms=34511626240, pfaults=12186, pageins=226)",0.0,0.07476806640625,0,1681222258.835847,0.366997024,0.146832464,0.0,0.0
444,TrustedPeersHelper,jachian,"pctxsw(voluntary=140475495351478, involuntary=0)","pmem(rss=7544832, vms=34506932224, pfaults=5345, pageins=86)",0.0,0.08783340454101562,0,1681222258.849201,0.210192688,0.107188128,0.0,0.0
445,CoreLocationAgent,jachian,"pctxsw(voluntary=140475495352327, involuntary=0)","pmem(rss=9830400, vms=34627903488, pfaults=7274, pageins=5)",0.0,0.11444091796875,0,1681222258.852134,0.093770768,0.070063608,0.0,0.0
446,QuickLookUIService,jachian,"pctxsw(voluntary=140475495352225, involuntary=0)","pmem(rss=10407936, vms=35022147584, pfaults=6188, pageins=18)",0.0,0.12116432189941406,0,1681222258.874523,0.071486048,0.065437208,0.0,0.0
447,pkd,jachian,"pctxsw(voluntary=140475495357431, involuntary=0)","pmem(rss=6647808, vms=34504908800, pfaults=14302, pageins=11)",0.0,0.07739067077636719,0,1681222258.877155,0.758723392,0.385600608,0.0,0.0
448,calaccessd,jachian,"pctxsw(voluntary=140475495362682, involuntary=0)","pmem(rss=15306752, vms=34527428608, pfaults=18031, pageins=274)",0.0,0.1781940460205078,0,1681222258.889922,1.002028864,0.445719744,0.0,0.0
449,bird,jachian,"pctxsw(voluntary=140475495368690, involuntary=0)","pmem(rss=11649024, vms=34508296192, pfaults=16163, pageins=225)",0.0,0.13561248779296875,0,1681222258.947367,1.364595968,0.787049088,0.0,0.0
450,sharedfilelistd,jachian,"pctxsw(voluntary=140475495352162, involuntary=0)","pmem(rss=7507968, vms=34499686400, pfaults=4669, pageins=12)",0.0,0.08740425109863281,0,1681222258.994499,0.195530144,0.092891728,0.0,0.0
